,y,x,ID,버거킹 매장수,맥도날드 매장수,KFC 매장수,롯데리아 매장수,버거 지수
187,20,1,함평,0,0,0,1,0.0
188,20,2,담양,0,0,0,4,0.0
189,20,3,순창,0,0,0,1,0.0
190,20,4,구례,0,0,0,2,0.0
191,20,5,하동,0,0,0,1,0.0
192,20,6,창원 의창,2,5,0,6,1.17
193,20,7,창원 성산,1,4,1,4,1.5
194,20,8,창원 진해,1,4,0,5,1.0
195,20,9,김해,3,9,4,10,1.6
196,20,10,부산 영도,0,1,0,2,0.5
197,20,11,부산 수영,0,6,0,3,2.0
198,21,1,무안,1,1,0,2,1.0
199,21,2,광주 광산,3,3,1,10,0.7
200,21,3,곡성,0,0,0,1,0.0
201,21,5,광양,1,1,0,2,1.0
202,21,6,사천,1,1,0,3,0.67
203,21,7,창원 회원,3,4,1,8,1.0
204,21,8,통영,0,2,0,0,0.0
205,22,0,목포,2,5,0,4,1.75
206,22,2,광주 서구,3,3,4,13,0.77
207,22,3,광주 북구,4,5,2,5,2.2
208,22,4,순천,0,6,0,9,0.67
209,22,5,고흥,0,0,0,1,0.0
210,22,6,남해,0,0,0,1,0.0
211,22,7,고성(경남),0,0,0,3,0.0
212,22,8,거제,4,3,0,4,1.75
213,23,2,광주 남구,0,6,1,9,0.78
214,23,3,광주 동구,2,0,0,3,0.67
215,23,4,여수,1,4,0,10,0.5
216,24,1,강진,0,0,0,1,0.0
217,24,3,보성,0,0,0,1,0.0
218,25,5,제주,2,8,0,8,1.25
219,26,5,서귀포,0,6,0,5,1.2
